Time[sec],OwnCar X[m],OwnCar Y[m], OwnCar Yaw[deg],OwnCar Spd[km/h],OwnCar Steer Angle[deg],OwnCar Brake[MPa],X[m],Y[m]
185.709,624.073,-14.307,91.043,19.177,142.207,0.042,609.442,-6.886
185.725,624.07,-14.22,91.146,19.163,142.207,0.043,609.525,-6.927
185.742,624.065,-14.128,91.261,19.146,142.207,0.046,609.608,-6.969
185.758,624.06,-14.036,91.385,19.125,177.583,0.048,609.69,-7.011
185.775,624.056,-13.949,91.497,19.106,177.583,0.044,609.773,-7.054
185.792,624.051,-13.857,91.628,19.083,177.583,0.046,609.854,-7.097
185.808,624.045,-13.766,91.772,19.057,177.583,0.056,609.936,-7.141
185.825,624.039,-13.679,91.906,19.035,177.583,0.056,610.016,-7.186
185.841,624.033,-13.587,92.054,19.013,177.583,0.056,610.097,-7.231
185.858,624.026,-13.496,92.211,18.986,217.354,0.057,610.178,-7.277
185.875,624.02,-13.408,92.35,18.963,217.354,0.057,610.258,-7.324
185.891,624.012,-13.317,92.511,18.936,217.354,0.057,610.338,-7.371
185.908,624.004,-13.226,92.685,18.905,217.354,0.054,610.417,-7.419
185.924,623.997,-13.14,92.846,18.88,217.354,0.057,610.496,-7.467
185.941,623.988,-13.049,93.025,18.854,256.157,0.054,610.574,-7.516
185.959,623.979,-12.957,93.209,18.824,256.157,0.054,610.653,-7.565
185.975,623.97,-12.871,93.388,18.794,256.157,0.056,610.731,-7.615
185.992,623.96,-12.781,93.59,18.766,256.157,0.042,610.808,-7.666
186.008,623.95,-12.69,93.803,18.734,256.157,0.04,610.885,-7.717
186.025,623.939,-12.604,94.002,18.709,286.611,0.04,610.962,-7.769
186.042,623.928,-12.513,94.217,18.684,286.611,0.04,611.038,-7.821
186.058,623.916,-12.422,94.448,18.65,286.611,0.043,611.114,-7.874
186.075,623.905,-12.337,94.666,18.625,286.611,0.044,611.189,-7.927
186.091,623.892,-12.247,94.901,18.601,286.611,0.044,611.264,-7.982
186.108,623.879,-12.157,95.147,18.571,306.914,0.043,611.34,-8.036
186.125,623.866,-12.071,95.371,18.548,306.914,0.054,611.414,-8.091
186.141,623.852,-11.981,95.617,18.523,306.914,0.053,611.487,-8.147
186.158,623.837,-11.892,95.873,18.492,306.914,0.054,611.561,-8.204
186.175,623.823,-11.807,96.107,18.469,306.914,0.053,611.635,-8.261
186.191,623.807,-11.718,96.359,18.444,306.914,0.053,611.707,-8.318
186.208,623.792,-11.629,96.619,18.415,329.238,0.051,611.779,-8.376
186.225,623.776,-11.544,96.854,18.392,329.238,0.051,611.851,-8.434
186.242,623.76,-11.455,97.11,18.365,329.238,0.051,611.923,-8.494
186.258,623.742,-11.367,97.377,18.334,329.238,0.051,611.993,-8.553
186.275,623.726,-11.283,97.622,18.31,329.238,0.051,612.064,-8.613
186.292,623.708,-11.195,97.887,18.284,355.342,0.051,612.133,-8.673
186.308,623.689,-11.106,98.159,18.254,355.342,0.038,612.203,-8.734
186.325,623.671,-11.023,98.413,18.225,355.342,0.039,612.272,-8.796
186.341,623.651,-10.935,98.692,18.197,355.342,0.04,612.341,-8.858
186.358,623.631,-10.848,98.982,18.165,355.342,0.04,612.409,-8.921
186.375,623.612,-10.765,99.25,18.14,381.973,0.04,612.477,-8.984
186.391,623.591,-10.677,99.537,18.113,381.973,0.04,612.544,-9.048
186.408,623.569,-10.59,99.839,18.079,381.973,0.042,612.61,-9.112
